,ID,NN
A,A,8.122707214757218
E,E,64.05010556870637
G,G,41.33068155511306
H,H,8.055718523697342
I,I,5.007210472636742
J,J,14.749515627981241
K,K,8.137532836034291
L,L,40.59882853350301
M,M,14.048422531208884
N,N,12.991228394421316
O,O,8.594582409239598
