,ID,NN
A,A,11.717847489943756
E,E,65.79431035304007
G,G,36.4150911417016
H,H,9.580319703217754
I,I,5.201826647073132
J,J,14.639306061072139
K,K,7.592144642397989
L,L,5.748808868288056
M,M,12.986907645882395
N,N,28.8453967598792
O,O,6.013894859703483
