,ID,NN
A,A,8.34601617591618
E,E,33.21438532471048
G,G,23.658445936084384
H,H,5.276432876686823
I,I,8.10157064272934
J,J,22.0901348834171
K,K,12.260901735083786
L,L,10.54219372421771
M,M,9.751894649804063
N,N,11.991941521148942
O,O,6.272570987836399
