,ID,NN
A,A,3.0084654880456276
E,E,3.379159030295972
I,I,5.214022874467381
J,J,11.354413133056289
K,K,10.886252123006733
M,M,5.231052075688765
N,N,7.225469115459091
O,O,6.474341482610819
