,ID,NN
A,A,4.769806878206503
E,E,49.15737812125621
I,I,4.224403951645256
J,J,28.715231261893198
K,K,13.288958534506271
M,M,36.18408858150009
N,N,21.399270493270098
O,O,6.381962136217639
