,TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Source,Yield
0,10.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,8.982569444444444,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,8.2,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.19756331279945244
1,20.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,18.982569444444444,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,11.3,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.2722518822724162
2,30.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,28.982569444444447,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,13.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3132101300479124
3,40.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,38.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.1,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.33971252566735116
4,50.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,48.98256944444446,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.5,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.34934976043805616
5,60.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,58.98256944444446,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.8,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.35657768651608496
6,70.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,68.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.7,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.35416837782340865
7,80.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,78.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.6,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3517590691307324
8,90.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,88.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.5,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.34934976043805616
9,100.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,98.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.2,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3421218343600274
10,110.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,108.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.1,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.33971252566735116
11,120.0,130.0,8.0,0.4052315391706937,0.5,3.0,0.0,118.98256944444445,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,14.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3373032169746749
12,60.0,105.0,8.0,0.4052315391706937,1.5,3.0,0.0,59.22481481481481,0.7751851851851851,103.20114667940756,,,,33.20454545454545,,,,,,5.8,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.13973990417522247
13,60.0,110.0,8.0,0.4052315391706937,2.5,3.0,0.0,59.176365740740735,0.8236342592592591,103.20114667940756,,,,33.20454545454545,,,,,,6.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.14455852156057497
14,60.0,115.0,8.0,0.4052315391706937,3.5,3.0,0.0,59.12791666666666,0.8720833333333332,103.20114667940756,,,,33.20454545454545,,,,,,9.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.21683778234086246
15,60.0,120.0,8.0,0.4052315391706937,4.5,3.0,0.0,59.07946759259259,0.9205324074074074,103.20114667940756,,,,33.20454545454545,,,,,,12.2,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.29393566050650244
16,60.0,125.0,8.0,0.4052315391706937,5.5,3.0,0.0,59.03101851851852,0.9689814814814814,103.20114667940756,,,,33.20454545454545,,,,,,15.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3613963039014374
17,60.0,130.0,8.0,0.4052315391706937,6.5,3.0,0.0,58.98256944444446,1.0174305555555554,103.20114667940756,,,,33.20454545454545,,,,,,15.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3613963039014374
18,60.0,125.0,8.0,0.4052315391706937,7.5,3.0,0.0,59.03101851851852,0.9689814814814814,103.20114667940756,,,,33.20454545454545,,,,,,15.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3613963039014374
19,60.0,125.0,8.0,0.8104630783413873,8.5,3.0,0.0,59.03101851851852,0.9689814814814814,103.20114667940756,,,,33.20454545454545,,,,,,18.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.4336755646817249
20,60.0,125.0,8.0,1.215694617512081,9.5,3.0,0.0,59.03101851851852,0.9689814814814814,103.20114667940756,,,,33.20454545454545,,,,,,18.0,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.4336755646817249
21,60.0,125.0,8.0,1.6209261566827746,10.5,3.0,0.0,59.03101851851852,0.9689814814814814,103.20114667940756,,,,33.20454545454545,,,,,,16.2,,,,,DesignOfProcessParametersForProudctionOfXylose.xlsx,0.3903080082135524
