,ID,NN
A,A,5.4056516900810205
E,E,6.420277821589328
I,I,5.0309395023628944
J,J,7.930892039176764
K,K,7.195040363187237
M,M,11.490061371010139
N,N,5.864789207174919
O,O,5.898675634875664
