,ID,NN
A,A,4.010638327997572
E,E,2.6349432082492177
I,I,14.263624495467809
J,J,6.410253348670217
K,K,13.495195941036
M,M,6.460769378013705
N,N,3.998237985826632
O,O,10.310975608661918
