,Param,MAE,STDAE
0,TotalT,8.001670835559613,8.685123542980023
1,Temp,11.010012272824943,11.392161736865582
2,LSR,8.185385374672666,7.770796144787591
3,CA,8.736244585296669,8.820307496266361
4,Size,7.813289621764986,7.975999207692228
5,Moisture,8.042709805713363,8.097534363252105
6,IsoT,8.050013559150502,8.797015595808407
7,HeatT,7.949766087142562,8.207423478766675
8,Ramp,8.003253554169186,8.051974394023835
9,F_X,8.05264787664245,8.094906382298147
